year,month,period,rate
2017,5,6,0.016
2017,5,7,0.0169
2017,5,8,0.0178
2017,5,9,0.0186
2017,5,10,0.0193
2017,5,11,0.02
2017,5,12,0.0207
2017,5,13,0.02125
2017,5,14,0.0218
2017,5,15,0.0223
2017,5,16,0.0227
2017,5,17,0.0231
2017,5,18,0.0235
2017,5,19,0.0238
2017,5,20,0.0241
2017,5,21,0.0244
2017,5,22,0.0247
2017,5,23,0.0249
2017,5,24,0.0251
2017,5,25,0.0252
2017,6,1,0.0109
2017,6,2,0.0109
2017,6,3,0.0127
2017,6,4,0.0139
2017,6,5,0.015
2017,6,6,0.0159
2017,6,7,0.0168
2017,6,8,0.0176
2017,6,9,0.0184
2017,6,10,0.0191
2017,6,11,0.0197
2017,6,12,0.0204
2017,6,13,0.0209
2017,6,14,0.0215
2017,6,15,0.0219
2017,6,16,0.0224
2017,6,17,0.0228
2017,6,18,0.0232
2017,6,19,0.0235
2017,6,20,0.0238
2017,6,21,0.0241
2017,6,22,0.0243
2017,6,23,0.0245
2017,6,24,0.0247
2017,6,25,0.0249
2017,7,1,0.0102
2017,7,2,0.0122
2017,7,3,0.014
2017,7,4,0.0152
2017,7,5,0.0161
2017,7,6,0.017
2017,7,7,0.0179
2017,7,8,0.0187
2017,7,9,0.0194
2017,7,10,0.0201
2017,7,11,0.0207
2017,7,12,0.0213
2017,7,13,0.0219
2017,7,14,0.0224
2017,7,15,0.0228
2017,7,16,0.0232
2017,7,17,0.0236
2017,7,18,0.024
2017,7,19,0.0243
2017,7,20,0.0246
2017,7,21,0.0248
2017,7,22,0.025
2017,7,23,0.0252
2017,7,24,0.0254
2017,7,25,0.0256
2017,8,1,0.0104
2017,8,2,0.0127
2017,8,3,0.0144
2017,8,4,0.0156
2017,8,5,0.0166
2017,8,6,0.0176
2017,8,7,0.0185
2017,8,8,0.0194
2017,8,9,0.0202
2017,8,10,0.0209
2017,8,11,0.0216
2017,8,12,0.0222
2017,8,13,0.0227
2017,8,14,0.0232
2017,8,15,0.0237
2017,8,16,0.0241
2017,8,17,0.0245
2017,8,18,0.0248
2017,8,19,0.0251
2017,8,20,0.0254
2017,8,21,0.0256
2017,8,22,0.0258
2017,8,23,0.026
2017,8,24,0.0262
2017,8,25,0.0263
2017,9,1,0.0109
2017,9,2,0.0132
2017,9,3,0.0147
2017,9,4,0.0158
2017,9,5,0.0169
2017,9,6,0.018
2017,9,7,0.019
2017,9,8,0.02
2017,9,9,0.0209
2017,9,10,0.02165
2017,9,11,0.0224
2017,9,12,0.0231
2017,9,13,0.0237
2017,9,14,0.0242
2017,9,15,0.0247
2017,9,16,0.0251
2017,9,17,0.0255
2017,9,18,0.0258
2017,9,19,0.0261
2017,9,20,0.0264
2017,9,21,0.0266
2017,9,22,0.0268
2017,9,23,0.027
2017,9,24,0.0271
2017,9,25,0.0273
2017,10,1,0.0121
2017,10,2,0.0145
2017,10,3,0.0159
2017,10,4,0.0169
2017,10,5,0.0179
2017,10,6,0.0189
2017,10,7,0.0199
2017,10,8,0.0208
2017,10,9,0.0217
2017,10,10,0.0225
2017,10,11,0.0233
2017,10,12,0.024
2017,10,13,0.0246
2017,10,14,0.0251
2017,10,15,0.0256
2017,10,16,0.0261
2017,10,17,0.0265
2017,10,18,0.0269
2017,10,19,0.0272
2017,10,20,0.0275
2017,10,21,0.0277
2017,10,22,0.028
2017,10,23,0.0282
2017,10,24,0.0284
2017,10,25,0.0285
2017,11,1,0.024
2017,11,2,0.0157
2017,11,3,0.0172
2017,11,4,0.0182
2017,11,5,0.0191
2017,11,6,0.0199
2017,11,7,0.0208
2017,11,8,0.0217
2017,11,9,0.0225
2017,11,10,0.0232
2017,11,11,0.02395
2017,11,12,0.0247
2017,11,13,0.0253
2017,11,14,0.0259
2017,11,15,0.0264
2017,11,16,0.0269
2017,11,17,0.0273
2017,11,18,0.0278
2017,11,19,0.0281
2017,11,20,0.0285
2017,11,21,0.0288
2017,11,22,0.029
2017,11,23,0.0293
2017,11,24,0.0295
2017,11,25,0.0297
2017,12,1,0.0128
2017,12,2,0.0167
2017,12,3,0.0186
2017,12,4,0.0197
2017,12,5,0.0206
2017,12,6,0.0214
2017,12,7,0.0222
2017,12,8,0.0229
2017,12,9,0.0236
2017,12,10,0.0243
2017,12,11,0.025
2017,12,12,0.0257
2017,12,13,0.0263
2017,12,14,0.0269
2017,12,15,0.0274
2017,12,16,0.0279
2017,12,17,0.0284
2017,12,18,0.0288
2017,12,19,0.0292
2017,12,20,0.0295
2017,12,21,0.0298
2017,12,22,0.0301
2017,12,23,0.0304
2017,12,24,0.0306
2017,12,25,0.0308
2018,1,1,0.0106
2018,1,2,0.01415
2018,1,3,0.0177
2018,1,4,0.0191
2018,1,5,0.0202
2018,1,6,0.0212
2018,1,7,0.022
2018,1,8,0.0228
2018,1,9,0.0236
2018,1,10,0.0243
2018,1,11,0.025
2018,1,12,0.0256
2018,1,13,0.0262
2018,1,14,0.0268
2018,1,15,0.0273
2018,1,16,0.0278
2018,1,17,0.0283
2018,1,18,0.0287
2018,1,19,0.0291
2018,1,20,0.0294
2018,1,21,0.0297
2018,1,22,0.03
2018,1,23,0.0303
2018,1,24,0.0305
2018,1,25,0.0307
2018,2,1,0.0097
2018,2,2,0.014
2018,2,3,0.0167
2018,2,4,0.0184
2018,2,5,0.0236
2018,2,6,0.0209
2018,2,7,0.0219
2018,2,8,0.0228
2018,2,9,0.0236
2018,2,10,0.0244
2018,2,11,0.0251
2018,2,12,0.0258
2018,2,13,0.0264
2018,2,14,0.027
2018,2,15,0.0275
2018,2,16,0.028
2018,2,17,0.0284
2018,2,18,0.0288
2018,2,19,0.0292
2018,2,20,0.0295
2018,2,21,0.0298
2018,2,22,0.03
2018,2,23,0.0303
2018,2,24,0.0305
2018,2,25,0.0306
2018,3,1,0.0093
2018,3,2,0.0126
2018,3,3,0.0152
2018,3,4,0.017
2018,3,5,0.0185
2018,3,6,0.0198
2018,3,7,0.0209
2018,3,8,0.022
2018,3,9,0.0229
2018,3,10,0.0237
2018,3,11,0.0245
2018,3,12,0.0252
2018,3,13,0.0258
2018,3,14,0.0264
2018,3,15,0.0269
2018,3,16,0.0274
2018,3,17,0.0278
2018,3,18,0.0282
2018,3,19,0.0286
2018,3,20,0.0289
2018,3,21,0.0292
2018,3,22,0.0294
2018,3,23,0.0296
2018,3,24,0.0298
2018,3,25,0.03
2018,4,1,0.0088
2018,4,2,0.0119
2018,4,3,0.0143
2018,4,4,0.016
2018,4,5,0.0175
2018,4,6,0.0189
2018,4,7,0.0201
2018,4,8,0.0211
2018,4,9,0.0221
2018,4,10,0.023
2018,4,11,0.0237
2018,4,12,0.0245
2018,4,13,0.0251
2018,4,14,0.0257
2018,4,15,0.0262
2018,4,16,0.0267
2018,4,17,0.0272
2018,4,18,0.0276
2018,4,19,0.0279
